airport_id,airport_name,city,country,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_altitude,airport_timezone,
7096,Kwigillingok Airport,Kwigillingok,United States,KWK,PAGG,59.876499,-163.169005,18,-9,A
7097,Marshall Don Hunter Sr Airport,Marshall,United States,MLL,PADM,61.86429977,-162.026001,103,-9,A
7098,Russian Mission Airport,Russian Mission,United States,RSH,PARS,61.77888489,-161.319458,51,-9,A
7101,Koliganek Airport,Koliganek,United States,KGK,PAJZ,59.72660065,-157.2590027,269,-9,A
7103,Manokotak Airport,Manokotak,United States,KMO,PAMB,58.99020004,-159.0500031,100,-9,A
7105,Chalkyitsik Airport,Chalkyitsik,United States,CIK,PACI,66.64499664,-143.7400055,544,-9,A
7106,Eagle Airport,Eagle,United States,EAA,PAEG,64.77639771,-141.151001,908,-9,A
7107,Hughes Airport,Hughes,United States,HUS,PAHU,66.04109955,-154.2630005,299,-9,A
7108,Huslia Airport,Huslia,United States,HSL,PAHL,65.69789886,-156.3509979,220,-9,A
7111,Nulato Airport,Nulato,United States,NUL,PANU,64.72930145,-158.0740051,399,-9,A
7114,Venetie Airport,Venetie,United States,VEE,PAVE,67.00869751,-146.3659973,574,-9,A
7115,Beaver Airport,Beaver,United States,WBQ,PAWB,66.36219788,-147.4069977,359,-9,A
7116,Central Airport,Central,United States,CEM,PACE,65.57379913,-144.7830048,937,-9,A
7117,Shungnak Airport,Shungnak,United States,SHG,PAGH,66.88809967,-157.1620026,197,-9,A
7120,Inyokern Airport,Inyokern,United States,IYK,KIYK,35.65879822,-117.8300018,2457,-8,A
7121,Visalia Municipal Airport,Visalia,United States,VIS,KVIS,36.31869888,-119.3929977,295,-8,A
7122,Merced Regional Macready Field,Merced,United States,MCE,KMCE,37.28469849,-120.5139999,155,-8,A
7123,Laguna de Los Patos International Airport,Colonia,Uruguay,CYR,SUCA,-34.45640182,-57.77059937,66,-3,U
7125,Amarais Airport,Campinas,Brazil,CPQ,SDAM,-22.85919952,-47.10820007,2008,-3,S
7126,Phoenix Goodyear Airport,Goodyear,United States,UNKNOWN,KGYR,33.42250061,-112.3759995,968,-7,N
7128,Toowoomba Airport,Toowoomba,Australia,TWB,YTWB,-27.5428009,151.9160004,2086,10,N
7129,Ballera Airport,Ballera,Australia,UNKNOWN,YLLE,-27.405633,141.809458,385,10,N
7130,Gatton Campus Airport,Gatton,Australia,UNKNOWN,YGAT,-27.56040607,152.3404598,0,10,N
7131,Arkalyk North Airport,Arkalyk,Kazakhstan,AYK,UAUR,50.3185997,66.95279694,1266,6,U
7134,Nabern/Teck Airport,Kirchheim-Teck,Germany,UNKNOWN,EDTN,48.61277771,9.477222443,1214,1,E
7135,Angoon Seaplane Base,Angoon,United States,AGN,PAGN,57.503601,-134.585007,0,-9,A
7136,Elfin Cove Seaplane Base,Elfin Cove,United States,ELV,PAEL,58.19520187,-136.3470001,0,-9,A
7140,Funter Bay Seaplane Base,Funter Bay,United States,FNR,PANR,58.25439835,-134.897995,0,-9,A
7142,Hoonah Airport,Hoonah,United States,HNH,PAOH,58.0961,-135.410111,19,-9,A
7143,Kake Airport,Kake,United States,AFE,PAFE,56.96139908,-133.9100037,172,-9,A
7146,Metlakatla Seaplane Base,Metakatla,United States,MTM,PAMM,55.13100052,-131.5780029,0,-9,A
7148,Hydaburg Seaplane Base,Hydaburg,United States,HYG,PAHY,55.20629883,-132.8280029,0,-9,A
7154,Egegik Airport,Egegik,United States,EGX,PAII,58.1855011,-157.375,92,-9,A
7157,Perryville Airport,Perryville,United States,KPV,PAPE,55.905998,-159.162993,29,-9,A
7158,Pilot Point Airport,Pilot Point,United States,PIP,PAPN,57.58039856,-157.5720062,57,-9,A
7159,South Naknek Nr 2 Airport,South Naknek,United States,WSN,PFWS,58.70339966,-157.0079956,162,-9,A
7160,Akhiok Airport,Akhiok,United States,AKK,PAKH,56.93870163,-154.1829987,44,-9,A
7161,Karluk Airport,Karluk,United States,KYK,PAKY,57.56710052,-154.4499969,137,-9,A
7162,Larsen Bay Airport,Larsen Bay,United States,KLN,PALB,57.53509903,-153.9779968,87,-9,A
7177,Ambler Airport,Ambler,United States,ABL,PAFM,67.10630035,-157.8569946,334,-9,A
7178,Buckland Airport,Buckland,United States,BKC,PABL,65.9815979,-161.1490021,31,-9,A
7179,Bob Baker Memorial Airport,Kiana,United States,IAN,PAIK,66.97599792,-160.4369965,166,-9,A
